# Generated by workflow/scripts/py/make_sheets.py -- safe to edit.
# Set use=false to drop a row without deleting it.
sample	mark	clone	condition	allele	replicate	genotype	snpsplit_tag	normgroup	input_type	bam	use
H3K27ac_CL30_WT_Xi_rep1	H3K27ac	CL30	WT	Xi	1	C57BL-6J	G1	WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_CL30_WT_Xi_rep1.bam	true
H3K27ac_CL30_WT_Xi_rep2	H3K27ac	CL30	WT	Xi	2	C57BL-6J	G1	WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_CL30_WT_Xi_rep2.bam	false
H3K27ac_E6_WT_Gall_rep1	H3K27ac	E6	WT	Gall	1			WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_E6_WT_Gall_rep1.bam	true
H3K27ac_E6_WT_Gall_rep2	H3K27ac	E6	WT	Gall	2			WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_E6_WT_Gall_rep2.bam	true
H3K27ac_E6_WT_Xa_rep1	H3K27ac	E6	WT	Xa	1	CAST-EiJ	G2	WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_E6_WT_Xa_rep1.bam	true
H3K27ac_E6_WT_Xa_rep2	H3K27ac	E6	WT	Xa	2	CAST-EiJ	G2	WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_E6_WT_Xa_rep2.bam	true
H3K27ac_E6_WT_Xi_rep1	H3K27ac	E6	WT	Xi	1	C57BL-6J	G1	WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_E6_WT_Xi_rep1.bam	true
H3K27ac_E6_WT_Xi_rep2	H3K27ac	E6	WT	Xi	2	C57BL-6J	G1	WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_E6_WT_Xi_rep2.bam	true
H3K27ac_JTG_WT_Gall_rep1	H3K27ac	JTG	WT	Gall	1			WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_JTG_WT_Gall_rep1.bam	true
H3K27ac_JTG_WT_Gall_rep2	H3K27ac	JTG	WT	Gall	2			WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_JTG_WT_Gall_rep2.bam	true
H3K27ac_JTG_WT_Xa_rep1	H3K27ac	JTG	WT	Xa	1	CAST-EiJ	G2	WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_JTG_WT_Xa_rep1.bam	true
H3K27ac_JTG_WT_Xa_rep2	H3K27ac	JTG	WT	Xa	2	CAST-EiJ	G2	WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_JTG_WT_Xa_rep2.bam	true
H3K27ac_JTG_WT_Xi_rep1	H3K27ac	JTG	WT	Xi	1	C57BL-6J	G1	WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_JTG_WT_Xi_rep1.bam	true
H3K27ac_JTG_WT_Xi_rep2	H3K27ac	JTG	WT	Xi	2	C57BL-6J	G1	WT_H3K27ac	selected	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27ac/H3K27ac_JTG_WT_Xi_rep2.bam	true
CTCF_B1_WT_Gall_rep1	CTCF	B1	WT	Gall	1			WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_B1_WT_Gall_rep1.bam	true
CTCF_B1_WT_Gall_rep2	CTCF	B1	WT	Gall	2			WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_B1_WT_Gall_rep2.bam	true
CTCF_B1_WT_Xa_rep1	CTCF	B1	WT	Xa	1	C57BL-6J	G1	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_B1_WT_Xa_rep1.bam	true
CTCF_B1_WT_Xa_rep2	CTCF	B1	WT	Xa	2	C57BL-6J	G1	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_B1_WT_Xa_rep2.bam	true
CTCF_B1_WT_Xi_rep1	CTCF	B1	WT	Xi	1	CAST-EiJ	G2	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_B1_WT_Xi_rep1.bam	true
CTCF_B1_WT_Xi_rep2	CTCF	B1	WT	Xi	2	CAST-EiJ	G2	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_B1_WT_Xi_rep2.bam	true
CTCF_C5_WT_Gall_rep1	CTCF	C5	WT	Gall	1			WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_C5_WT_Gall_rep1.bam	true
CTCF_C5_WT_Gall_rep2	CTCF	C5	WT	Gall	2			WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_C5_WT_Gall_rep2.bam	true
CTCF_C5_WT_Xa_rep1	CTCF	C5	WT	Xa	1	C57BL-6J	G1	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_C5_WT_Xa_rep1.bam	true
CTCF_C5_WT_Xa_rep2	CTCF	C5	WT	Xa	2	C57BL-6J	G1	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_C5_WT_Xa_rep2.bam	true
CTCF_C5_WT_Xi_rep1	CTCF	C5	WT	Xi	1	CAST-EiJ	G2	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_C5_WT_Xi_rep1.bam	true
CTCF_C5_WT_Xi_rep2	CTCF	C5	WT	Xi	2	CAST-EiJ	G2	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_C5_WT_Xi_rep2.bam	true
CTCF_CL30_WT_Gall_rep1	CTCF	CL30	WT	Gall	1			WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_CL30_WT_Gall_rep1.bam	true
CTCF_CL30_WT_Gall_rep2	CTCF	CL30	WT	Gall	2			WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_CL30_WT_Gall_rep2.bam	true
CTCF_CL30_WT_Xa_rep1	CTCF	CL30	WT	Xa	1	CAST-EiJ	G2	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_CL30_WT_Xa_rep1.bam	true
CTCF_CL30_WT_Xa_rep2	CTCF	CL30	WT	Xa	2	CAST-EiJ	G2	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_CL30_WT_Xa_rep2.bam	true
CTCF_CL30_WT_Xi_rep1	CTCF	CL30	WT	Xi	1	C57BL-6J	G1	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_CL30_WT_Xi_rep1.bam	true
CTCF_CL30_WT_Xi_rep2	CTCF	CL30	WT	Xi	2	C57BL-6J	G1	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_CL30_WT_Xi_rep2.bam	true
CTCF_E6_WT_Gall_rep1	CTCF	E6	WT	Gall	1			WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_E6_WT_Gall_rep1.bam	true
CTCF_E6_WT_Gall_rep2	CTCF	E6	WT	Gall	2			WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_E6_WT_Gall_rep2.bam	true
CTCF_E6_WT_Xa_rep1	CTCF	E6	WT	Xa	1	CAST-EiJ	G2	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_E6_WT_Xa_rep1.bam	true
CTCF_E6_WT_Xa_rep2	CTCF	E6	WT	Xa	2	CAST-EiJ	G2	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_E6_WT_Xa_rep2.bam	true
CTCF_E6_WT_Xi_rep1	CTCF	E6	WT	Xi	1	C57BL-6J	G1	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_E6_WT_Xi_rep1.bam	true
CTCF_E6_WT_Xi_rep2	CTCF	E6	WT	Xi	2	C57BL-6J	G1	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_E6_WT_Xi_rep2.bam	true
CTCF_JTG_WT_Gall_rep1	CTCF	JTG	WT	Gall	1			WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_JTG_WT_Gall_rep1.bam	true
CTCF_JTG_WT_Gall_rep2	CTCF	JTG	WT	Gall	2			WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_JTG_WT_Gall_rep2.bam	true
CTCF_JTG_WT_Xa_rep1	CTCF	JTG	WT	Xa	1	CAST-EiJ	G2	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_JTG_WT_Xa_rep1.bam	true
CTCF_JTG_WT_Xa_rep2	CTCF	JTG	WT	Xa	2	CAST-EiJ	G2	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_JTG_WT_Xa_rep2.bam	true
CTCF_JTG_WT_Xi_rep1	CTCF	JTG	WT	Xi	1	C57BL-6J	G1	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_JTG_WT_Xi_rep1.bam	true
CTCF_JTG_WT_Xi_rep2	CTCF	JTG	WT	Xi	2	C57BL-6J	G1	WT_CTCF	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/CTCF_JTG_WT_Xi_rep2.bam	true
CTCF_E6A7_CTCF-NodTAG_Gall_rep1	CTCF	E6A7	CTCF-NodTAG	Gall	1			dTAG_CTCF_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_E6A7_CTCF-NodTAG_Gall_rep1.bam	true
CTCF_E6A7_CTCF-NodTAG_Gall_rep2	CTCF	E6A7	CTCF-NodTAG	Gall	2			dTAG_CTCF_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_E6A7_CTCF-NodTAG_Gall_rep2.bam	true
CTCF_E6A7_CTCF-NodTAG_Xa_rep1	CTCF	E6A7	CTCF-NodTAG	Xa	1	CAST-EiJ	G2	dTAG_CTCF_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_E6A7_CTCF-NodTAG_Xa_rep1.bam	true
