# Generated by workflow/scripts/py/make_sheets.py -- safe to edit.
# Set use=false to drop a row without deleting it.
sample	mark	clone	condition	allele	replicate	genotype	snpsplit_tag	normgroup	input_type	bam	use
CTCF_F3_CTCF-NodTAG_Gall_rep2	CTCF	F3	CTCF-NodTAG	Gall	2			dTAG_CTCF_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_F3_CTCF-NodTAG_Gall_rep2.bam	true
CTCF_F3_CTCF-NodTAG_Xa_rep1	CTCF	F3	CTCF-NodTAG	Xa	1	CAST-EiJ	G2	dTAG_CTCF_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_F3_CTCF-NodTAG_Xa_rep1.bam	true
CTCF_F3_CTCF-NodTAG_Xa_rep2	CTCF	F3	CTCF-NodTAG	Xa	2	CAST-EiJ	G2	dTAG_CTCF_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_F3_CTCF-NodTAG_Xa_rep2.bam	true
CTCF_F3_CTCF-NodTAG_Xi_rep1	CTCF	F3	CTCF-NodTAG	Xi	1	C57BL-6J	G1	dTAG_CTCF_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_F3_CTCF-NodTAG_Xi_rep1.bam	true
CTCF_F3_CTCF-NodTAG_Xi_rep2	CTCF	F3	CTCF-NodTAG	Xi	2	C57BL-6J	G1	dTAG_CTCF_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_F3_CTCF-NodTAG_Xi_rep2.bam	true
CTCF_F3_CTCF-dTAG_Gall_rep1	CTCF	F3	CTCF-dTAG	Gall	1			dTAG_CTCF_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_F3_CTCF-dTAG_Gall_rep1.bam	true
CTCF_F3_CTCF-dTAG_Gall_rep2	CTCF	F3	CTCF-dTAG	Gall	2			dTAG_CTCF_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_F3_CTCF-dTAG_Gall_rep2.bam	true
CTCF_F3_CTCF-dTAG_Xa_rep1	CTCF	F3	CTCF-dTAG	Xa	1	CAST-EiJ	G2	dTAG_CTCF_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_F3_CTCF-dTAG_Xa_rep1.bam	true
CTCF_F3_CTCF-dTAG_Xa_rep2	CTCF	F3	CTCF-dTAG	Xa	2	CAST-EiJ	G2	dTAG_CTCF_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_F3_CTCF-dTAG_Xa_rep2.bam	true
CTCF_F3_CTCF-dTAG_Xi_rep1	CTCF	F3	CTCF-dTAG	Xi	1	C57BL-6J	G1	dTAG_CTCF_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_F3_CTCF-dTAG_Xi_rep1.bam	true
CTCF_F3_CTCF-dTAG_Xi_rep2	CTCF	F3	CTCF-dTAG	Xi	2	C57BL-6J	G1	dTAG_CTCF_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/CTCF_F3_CTCF-dTAG_Xi_rep2.bam	true
H3K27ac_B1621_Rad21-NodTAG_Gall_rep1	H3K27ac	B1621	Rad21-NodTAG	Gall	1			dTAG_H3K27ac_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_B1621_Rad21-NodTAG_Gall_rep1.bam	true
H3K27ac_B1621_Rad21-NodTAG_Gall_rep2	H3K27ac	B1621	Rad21-NodTAG	Gall	2			dTAG_H3K27ac_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_B1621_Rad21-NodTAG_Gall_rep2.bam	true
H3K27ac_B1621_Rad21-NodTAG_Xa_rep1	H3K27ac	B1621	Rad21-NodTAG	Xa	1	C57BL-6J	G1	dTAG_H3K27ac_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_B1621_Rad21-NodTAG_Xa_rep1.bam	true
H3K27ac_B1621_Rad21-NodTAG_Xa_rep2	H3K27ac	B1621	Rad21-NodTAG	Xa	2	C57BL-6J	G1	dTAG_H3K27ac_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_B1621_Rad21-NodTAG_Xa_rep2.bam	true
H3K27ac_B1621_Rad21-NodTAG_Xi_rep1	H3K27ac	B1621	Rad21-NodTAG	Xi	1	CAST-EiJ	G2	dTAG_H3K27ac_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_B1621_Rad21-NodTAG_Xi_rep1.bam	true
H3K27ac_B1621_Rad21-NodTAG_Xi_rep2	H3K27ac	B1621	Rad21-NodTAG	Xi	2	CAST-EiJ	G2	dTAG_H3K27ac_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_B1621_Rad21-NodTAG_Xi_rep2.bam	true
H3K27ac_B1621_Rad21-dTAG_Gall_rep1	H3K27ac	B1621	Rad21-dTAG	Gall	1			dTAG_H3K27ac_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_B1621_Rad21-dTAG_Gall_rep1.bam	true
H3K27ac_B1621_Rad21-dTAG_Gall_rep2	H3K27ac	B1621	Rad21-dTAG	Gall	2			dTAG_H3K27ac_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_B1621_Rad21-dTAG_Gall_rep2.bam	true
H3K27ac_B1621_Rad21-dTAG_Xa_rep1	H3K27ac	B1621	Rad21-dTAG	Xa	1	C57BL-6J	G1	dTAG_H3K27ac_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_B1621_Rad21-dTAG_Xa_rep1.bam	true
H3K27ac_B1621_Rad21-dTAG_Xa_rep2	H3K27ac	B1621	Rad21-dTAG	Xa	2	C57BL-6J	G1	dTAG_H3K27ac_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_B1621_Rad21-dTAG_Xa_rep2.bam	true
H3K27ac_B1621_Rad21-dTAG_Xi_rep1	H3K27ac	B1621	Rad21-dTAG	Xi	1	CAST-EiJ	G2	dTAG_H3K27ac_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_B1621_Rad21-dTAG_Xi_rep1.bam	true
H3K27ac_B1621_Rad21-dTAG_Xi_rep2	H3K27ac	B1621	Rad21-dTAG	Xi	2	CAST-EiJ	G2	dTAG_H3K27ac_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_B1621_Rad21-dTAG_Xi_rep2.bam	true
H3K27ac_E6A7_CTCF-NodTAG_Gall_rep1	H3K27ac	E6A7	CTCF-NodTAG	Gall	1			dTAG_H3K27ac_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_E6A7_CTCF-NodTAG_Gall_rep1.bam	true
H3K27ac_E6A7_CTCF-NodTAG_Gall_rep2	H3K27ac	E6A7	CTCF-NodTAG	Gall	2			dTAG_H3K27ac_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_E6A7_CTCF-NodTAG_Gall_rep2.bam	true
H3K27ac_E6A7_CTCF-NodTAG_Xa_rep1	H3K27ac	E6A7	CTCF-NodTAG	Xa	1	CAST-EiJ	G2	dTAG_H3K27ac_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_E6A7_CTCF-NodTAG_Xa_rep1.bam	true
H3K27ac_E6A7_CTCF-NodTAG_Xa_rep2	H3K27ac	E6A7	CTCF-NodTAG	Xa	2	CAST-EiJ	G2	dTAG_H3K27ac_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_E6A7_CTCF-NodTAG_Xa_rep2.bam	true
H3K27ac_E6A7_CTCF-NodTAG_Xi_rep1	H3K27ac	E6A7	CTCF-NodTAG	Xi	1	C57BL-6J	G1	dTAG_H3K27ac_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_E6A7_CTCF-NodTAG_Xi_rep1.bam	true
H3K27ac_E6A7_CTCF-NodTAG_Xi_rep2	H3K27ac	E6A7	CTCF-NodTAG	Xi	2	C57BL-6J	G1	dTAG_H3K27ac_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_E6A7_CTCF-NodTAG_Xi_rep2.bam	true
H3K27ac_E6A7_CTCF-dTAG_Gall_rep1	H3K27ac	E6A7	CTCF-dTAG	Gall	1			dTAG_H3K27ac_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_E6A7_CTCF-dTAG_Gall_rep1.bam	true
H3K27ac_E6A7_CTCF-dTAG_Gall_rep2	H3K27ac	E6A7	CTCF-dTAG	Gall	2			dTAG_H3K27ac_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_E6A7_CTCF-dTAG_Gall_rep2.bam	true
H3K27ac_E6A7_CTCF-dTAG_Xa_rep1	H3K27ac	E6A7	CTCF-dTAG	Xa	1	CAST-EiJ	G2	dTAG_H3K27ac_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_E6A7_CTCF-dTAG_Xa_rep1.bam	true
H3K27ac_E6A7_CTCF-dTAG_Xa_rep2	H3K27ac	E6A7	CTCF-dTAG	Xa	2	CAST-EiJ	G2	dTAG_H3K27ac_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_E6A7_CTCF-dTAG_Xa_rep2.bam	true
H3K27ac_E6A7_CTCF-dTAG_Xi_rep1	H3K27ac	E6A7	CTCF-dTAG	Xi	1	C57BL-6J	G1	dTAG_H3K27ac_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_E6A7_CTCF-dTAG_Xi_rep1.bam	true
H3K27ac_E6A7_CTCF-dTAG_Xi_rep2	H3K27ac	E6A7	CTCF-dTAG	Xi	2	C57BL-6J	G1	dTAG_H3K27ac_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_E6A7_CTCF-dTAG_Xi_rep2.bam	true
H3K27ac_F3_CTCF-NodTAG_Gall_rep1	H3K27ac	F3	CTCF-NodTAG	Gall	1			dTAG_H3K27ac_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_F3_CTCF-NodTAG_Gall_rep1.bam	true
H3K27ac_F3_CTCF-NodTAG_Gall_rep2	H3K27ac	F3	CTCF-NodTAG	Gall	2			dTAG_H3K27ac_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_F3_CTCF-NodTAG_Gall_rep2.bam	true
H3K27ac_F3_CTCF-NodTAG_Xa_rep1	H3K27ac	F3	CTCF-NodTAG	Xa	1	CAST-EiJ	G2	dTAG_H3K27ac_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_F3_CTCF-NodTAG_Xa_rep1.bam	true
H3K27ac_F3_CTCF-NodTAG_Xa_rep2	H3K27ac	F3	CTCF-NodTAG	Xa	2	CAST-EiJ	G2	dTAG_H3K27ac_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_F3_CTCF-NodTAG_Xa_rep2.bam	true
H3K27ac_F3_CTCF-NodTAG_Xi_rep1	H3K27ac	F3	CTCF-NodTAG	Xi	1	C57BL-6J	G1	dTAG_H3K27ac_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_F3_CTCF-NodTAG_Xi_rep1.bam	true
H3K27ac_F3_CTCF-NodTAG_Xi_rep2	H3K27ac	F3	CTCF-NodTAG	Xi	2	C57BL-6J	G1	dTAG_H3K27ac_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_F3_CTCF-NodTAG_Xi_rep2.bam	true
H3K27ac_F3_CTCF-dTAG_Gall_rep1	H3K27ac	F3	CTCF-dTAG	Gall	1			dTAG_H3K27ac_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_F3_CTCF-dTAG_Gall_rep1.bam	true
H3K27ac_F3_CTCF-dTAG_Gall_rep2	H3K27ac	F3	CTCF-dTAG	Gall	2			dTAG_H3K27ac_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_F3_CTCF-dTAG_Gall_rep2.bam	true
H3K27ac_F3_CTCF-dTAG_Xa_rep1	H3K27ac	F3	CTCF-dTAG	Xa	1	CAST-EiJ	G2	dTAG_H3K27ac_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_F3_CTCF-dTAG_Xa_rep1.bam	true
H3K27ac_F3_CTCF-dTAG_Xa_rep2	H3K27ac	F3	CTCF-dTAG	Xa	2	CAST-EiJ	G2	dTAG_H3K27ac_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_F3_CTCF-dTAG_Xa_rep2.bam	true
H3K27ac_F3_CTCF-dTAG_Xi_rep1	H3K27ac	F3	CTCF-dTAG	Xi	1	C57BL-6J	G1	dTAG_H3K27ac_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_F3_CTCF-dTAG_Xi_rep1.bam	true
H3K27ac_F3_CTCF-dTAG_Xi_rep2	H3K27ac	F3	CTCF-dTAG	Xi	2	C57BL-6J	G1	dTAG_H3K27ac_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27ac_F3_CTCF-dTAG_Xi_rep2.bam	true
H3K27me3_B1621_Rad21-NodTAG_Gall_rep1	H3K27me3	B1621	Rad21-NodTAG	Gall	1			dTAG_H3K27me3_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_B1621_Rad21-NodTAG_Gall_rep1.bam	true
H3K27me3_B1621_Rad21-NodTAG_Gall_rep2	H3K27me3	B1621	Rad21-NodTAG	Gall	2			dTAG_H3K27me3_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_B1621_Rad21-NodTAG_Gall_rep2.bam	true
H3K27me3_B1621_Rad21-NodTAG_Xa_rep1	H3K27me3	B1621	Rad21-NodTAG	Xa	1	C57BL-6J	G1	dTAG_H3K27me3_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_B1621_Rad21-NodTAG_Xa_rep1.bam	true
H3K27me3_B1621_Rad21-NodTAG_Xa_rep2	H3K27me3	B1621	Rad21-NodTAG	Xa	2	C57BL-6J	G1	dTAG_H3K27me3_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_B1621_Rad21-NodTAG_Xa_rep2.bam	true
H3K27me3_B1621_Rad21-NodTAG_Xi_rep1	H3K27me3	B1621	Rad21-NodTAG	Xi	1	CAST-EiJ	G2	dTAG_H3K27me3_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_B1621_Rad21-NodTAG_Xi_rep1.bam	true
H3K27me3_B1621_Rad21-NodTAG_Xi_rep2	H3K27me3	B1621	Rad21-NodTAG	Xi	2	CAST-EiJ	G2	dTAG_H3K27me3_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_B1621_Rad21-NodTAG_Xi_rep2.bam	true
H3K27me3_B1621_Rad21-dTAG_Gall_rep1	H3K27me3	B1621	Rad21-dTAG	Gall	1			dTAG_H3K27me3_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_B1621_Rad21-dTAG_Gall_rep1.bam	true
H3K27me3_B1621_Rad21-dTAG_Gall_rep2	H3K27me3	B1621	Rad21-dTAG	Gall	2			dTAG_H3K27me3_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_B1621_Rad21-dTAG_Gall_rep2.bam	true
H3K27me3_B1621_Rad21-dTAG_Xa_rep1	H3K27me3	B1621	Rad21-dTAG	Xa	1	C57BL-6J	G1	dTAG_H3K27me3_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_B1621_Rad21-dTAG_Xa_rep1.bam	true
H3K27me3_B1621_Rad21-dTAG_Xa_rep2	H3K27me3	B1621	Rad21-dTAG	Xa	2	C57BL-6J	G1	dTAG_H3K27me3_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_B1621_Rad21-dTAG_Xa_rep2.bam	true
H3K27me3_B1621_Rad21-dTAG_Xi_rep1	H3K27me3	B1621	Rad21-dTAG	Xi	1	CAST-EiJ	G2	dTAG_H3K27me3_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_B1621_Rad21-dTAG_Xi_rep1.bam	true
H3K27me3_B1621_Rad21-dTAG_Xi_rep2	H3K27me3	B1621	Rad21-dTAG	Xi	2	CAST-EiJ	G2	dTAG_H3K27me3_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_B1621_Rad21-dTAG_Xi_rep2.bam	true
H3K27me3_E6A7_CTCF-NodTAG_Gall_rep1	H3K27me3	E6A7	CTCF-NodTAG	Gall	1			dTAG_H3K27me3_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_E6A7_CTCF-NodTAG_Gall_rep1.bam	true
H3K27me3_E6A7_CTCF-NodTAG_Gall_rep2	H3K27me3	E6A7	CTCF-NodTAG	Gall	2			dTAG_H3K27me3_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_E6A7_CTCF-NodTAG_Gall_rep2.bam	true
H3K27me3_E6A7_CTCF-NodTAG_Xa_rep1	H3K27me3	E6A7	CTCF-NodTAG	Xa	1	CAST-EiJ	G2	dTAG_H3K27me3_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_E6A7_CTCF-NodTAG_Xa_rep1.bam	true
H3K27me3_E6A7_CTCF-NodTAG_Xa_rep2	H3K27me3	E6A7	CTCF-NodTAG	Xa	2	CAST-EiJ	G2	dTAG_H3K27me3_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_E6A7_CTCF-NodTAG_Xa_rep2.bam	true
H3K27me3_E6A7_CTCF-NodTAG_Xi_rep1	H3K27me3	E6A7	CTCF-NodTAG	Xi	1	C57BL-6J	G1	dTAG_H3K27me3_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_E6A7_CTCF-NodTAG_Xi_rep1.bam	true
H3K27me3_E6A7_CTCF-NodTAG_Xi_rep2	H3K27me3	E6A7	CTCF-NodTAG	Xi	2	C57BL-6J	G1	dTAG_H3K27me3_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_E6A7_CTCF-NodTAG_Xi_rep2.bam	true
H3K27me3_E6A7_CTCF-dTAG_Gall_rep1	H3K27me3	E6A7	CTCF-dTAG	Gall	1			dTAG_H3K27me3_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_E6A7_CTCF-dTAG_Gall_rep1.bam	true
H3K27me3_E6A7_CTCF-dTAG_Gall_rep2	H3K27me3	E6A7	CTCF-dTAG	Gall	2			dTAG_H3K27me3_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_E6A7_CTCF-dTAG_Gall_rep2.bam	true
H3K27me3_E6A7_CTCF-dTAG_Xa_rep1	H3K27me3	E6A7	CTCF-dTAG	Xa	1	CAST-EiJ	G2	dTAG_H3K27me3_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_E6A7_CTCF-dTAG_Xa_rep1.bam	true
H3K27me3_E6A7_CTCF-dTAG_Xa_rep2	H3K27me3	E6A7	CTCF-dTAG	Xa	2	CAST-EiJ	G2	dTAG_H3K27me3_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_E6A7_CTCF-dTAG_Xa_rep2.bam	true
H3K27me3_E6A7_CTCF-dTAG_Xi_rep1	H3K27me3	E6A7	CTCF-dTAG	Xi	1	C57BL-6J	G1	dTAG_H3K27me3_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_E6A7_CTCF-dTAG_Xi_rep1.bam	true
H3K27me3_E6A7_CTCF-dTAG_Xi_rep2	H3K27me3	E6A7	CTCF-dTAG	Xi	2	C57BL-6J	G1	dTAG_H3K27me3_E6A7	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_E6A7_CTCF-dTAG_Xi_rep2.bam	true
H3K27me3_F3_CTCF-NodTAG_Gall_rep1	H3K27me3	F3	CTCF-NodTAG	Gall	1			dTAG_H3K27me3_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_F3_CTCF-NodTAG_Gall_rep1.bam	true
H3K27me3_F3_CTCF-NodTAG_Gall_rep2	H3K27me3	F3	CTCF-NodTAG	Gall	2			dTAG_H3K27me3_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_F3_CTCF-NodTAG_Gall_rep2.bam	true
H3K27me3_F3_CTCF-NodTAG_Xa_rep1	H3K27me3	F3	CTCF-NodTAG	Xa	1	CAST-EiJ	G2	dTAG_H3K27me3_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_F3_CTCF-NodTAG_Xa_rep1.bam	true
H3K27me3_F3_CTCF-NodTAG_Xa_rep2	H3K27me3	F3	CTCF-NodTAG	Xa	2	CAST-EiJ	G2	dTAG_H3K27me3_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_F3_CTCF-NodTAG_Xa_rep2.bam	true
H3K27me3_F3_CTCF-NodTAG_Xi_rep1	H3K27me3	F3	CTCF-NodTAG	Xi	1	C57BL-6J	G1	dTAG_H3K27me3_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_F3_CTCF-NodTAG_Xi_rep1.bam	true
H3K27me3_F3_CTCF-NodTAG_Xi_rep2	H3K27me3	F3	CTCF-NodTAG	Xi	2	C57BL-6J	G1	dTAG_H3K27me3_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_F3_CTCF-NodTAG_Xi_rep2.bam	true
H3K27me3_F3_CTCF-dTAG_Gall_rep1	H3K27me3	F3	CTCF-dTAG	Gall	1			dTAG_H3K27me3_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_F3_CTCF-dTAG_Gall_rep1.bam	true
H3K27me3_F3_CTCF-dTAG_Gall_rep2	H3K27me3	F3	CTCF-dTAG	Gall	2			dTAG_H3K27me3_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_F3_CTCF-dTAG_Gall_rep2.bam	true
H3K27me3_F3_CTCF-dTAG_Xa_rep1	H3K27me3	F3	CTCF-dTAG	Xa	1	CAST-EiJ	G2	dTAG_H3K27me3_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_F3_CTCF-dTAG_Xa_rep1.bam	true
H3K27me3_F3_CTCF-dTAG_Xa_rep2	H3K27me3	F3	CTCF-dTAG	Xa	2	CAST-EiJ	G2	dTAG_H3K27me3_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_F3_CTCF-dTAG_Xa_rep2.bam	true
H3K27me3_F3_CTCF-dTAG_Xi_rep1	H3K27me3	F3	CTCF-dTAG	Xi	1	C57BL-6J	G1	dTAG_H3K27me3_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_F3_CTCF-dTAG_Xi_rep1.bam	true
H3K27me3_F3_CTCF-dTAG_Xi_rep2	H3K27me3	F3	CTCF-dTAG	Xi	2	C57BL-6J	G1	dTAG_H3K27me3_F3	all	/mnt/scratch/nikolai/Antonia/all_bams/H3K27me3_F3_CTCF-dTAG_Xi_rep2.bam	true
Rad21_B1621_Rad21-NodTAG_Gall_rep1	Rad21	B1621	Rad21-NodTAG	Gall	1			dTAG_Rad21_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/Rad21_B1621_Rad21-NodTAG_Gall_rep1.bam	true
Rad21_B1621_Rad21-NodTAG_Gall_rep2	Rad21	B1621	Rad21-NodTAG	Gall	2			dTAG_Rad21_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/Rad21_B1621_Rad21-NodTAG_Gall_rep2.bam	true
Rad21_B1621_Rad21-NodTAG_Xa_rep1	Rad21	B1621	Rad21-NodTAG	Xa	1	C57BL-6J	G1	dTAG_Rad21_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/Rad21_B1621_Rad21-NodTAG_Xa_rep1.bam	true
Rad21_B1621_Rad21-NodTAG_Xa_rep2	Rad21	B1621	Rad21-NodTAG	Xa	2	C57BL-6J	G1	dTAG_Rad21_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/Rad21_B1621_Rad21-NodTAG_Xa_rep2.bam	true
Rad21_B1621_Rad21-NodTAG_Xi_rep1	Rad21	B1621	Rad21-NodTAG	Xi	1	CAST-EiJ	G2	dTAG_Rad21_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/Rad21_B1621_Rad21-NodTAG_Xi_rep1.bam	true
Rad21_B1621_Rad21-NodTAG_Xi_rep2	Rad21	B1621	Rad21-NodTAG	Xi	2	CAST-EiJ	G2	dTAG_Rad21_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/Rad21_B1621_Rad21-NodTAG_Xi_rep2.bam	true
Rad21_B1621_Rad21-dTAG_Gall_rep1	Rad21	B1621	Rad21-dTAG	Gall	1			dTAG_Rad21_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/Rad21_B1621_Rad21-dTAG_Gall_rep1.bam	true
Rad21_B1621_Rad21-dTAG_Gall_rep2	Rad21	B1621	Rad21-dTAG	Gall	2			dTAG_Rad21_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/Rad21_B1621_Rad21-dTAG_Gall_rep2.bam	true
Rad21_B1621_Rad21-dTAG_Xa_rep1	Rad21	B1621	Rad21-dTAG	Xa	1	C57BL-6J	G1	dTAG_Rad21_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/Rad21_B1621_Rad21-dTAG_Xa_rep1.bam	true
Rad21_B1621_Rad21-dTAG_Xa_rep2	Rad21	B1621	Rad21-dTAG	Xa	2	C57BL-6J	G1	dTAG_Rad21_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/Rad21_B1621_Rad21-dTAG_Xa_rep2.bam	true
Rad21_B1621_Rad21-dTAG_Xi_rep1	Rad21	B1621	Rad21-dTAG	Xi	1	CAST-EiJ	G2	dTAG_Rad21_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/Rad21_B1621_Rad21-dTAG_Xi_rep1.bam	true
Rad21_B1621_Rad21-dTAG_Xi_rep2	Rad21	B1621	Rad21-dTAG	Xi	2	CAST-EiJ	G2	dTAG_Rad21_B1621	all	/mnt/scratch/nikolai/Antonia/all_bams/Rad21_B1621_Rad21-dTAG_Xi_rep2.bam	true
RNA-Seq_B1_WT_Gall_rep1	RNA-Seq	B1	WT	Gall	1			WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_B1_WT_Gall_rep1.bam	true
RNA-Seq_B1_WT_Gall_rep2	RNA-Seq	B1	WT	Gall	2			WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_B1_WT_Gall_rep2.bam	true
RNA-Seq_B1_WT_Xa_rep1	RNA-Seq	B1	WT	Xa	1	C57BL-6J	G1	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_B1_WT_Xa_rep1.bam	true
RNA-Seq_B1_WT_Xa_rep2	RNA-Seq	B1	WT	Xa	2	C57BL-6J	G1	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_B1_WT_Xa_rep2.bam	true
RNA-Seq_B1_WT_Xi_rep1	RNA-Seq	B1	WT	Xi	1	CAST-EiJ	G2	WT_RNA-Seq	all	/mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/RNA-Seq_B1_WT_Xi_rep1.bam	true
