# Generated by workflow/scripts/py/make_sheets.py -- safe to edit.
# Set use=false to drop a row without deleting it.
cooler	locus	clone	condition	snpsplit_tag	allele	replicate	path	merge_loops	merge_comps	use
Mecp2_E6A7_CTCF-dTAG_G1_Xi	Mecp2	E6A7	CTCF-dTAG	G1	Xi		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_E6A7_CTCF-dTAG_G1_Xi.cool	Mecp2_dTAG_Xi	Mecp2_CTCF-dTAG_Xi,Mecp2_dTAG_Xi	true
Mecp2_E6A7_CTCF-dTAG_G2_Xa	Mecp2	E6A7	CTCF-dTAG	G2	Xa		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_E6A7_CTCF-dTAG_G2_Xa.cool	Mecp2_dTAG_Xa	Mecp2_CTCF-dTAG_Xa,Mecp2_dTAG_Xa	true
Mecp2_E6_WT_G1_Xi	Mecp2	E6	WT	G1	Xi		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_E6_WT_G1_Xi.cool	Mecp2_Xi	Mecp2_NodTAG-or-WT_Xi	true
Mecp2_E6_WT_G2_Xa	Mecp2	E6	WT	G2	Xa		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_E6_WT_G2_Xa.cool	Mecp2_Xa	Mecp2_NodTAG-or-WT_Xa	true
Mecp2_F3_CTCF-NodTAG_G1_Xi	Mecp2	F3	CTCF-NodTAG	G1	Xi			Mecp2_Xi	Mecp2_NodTAG-or-WT_Xi	true
Mecp2_F3_CTCF-NodTAG_G1_Xi_rep1	Mecp2	F3	CTCF-NodTAG	G1	Xi	1	/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_F3_CTCF-NodTAG_G1_Xi_rep1.cool			true
Mecp2_F3_CTCF-NodTAG_G1_Xi_rep2	Mecp2	F3	CTCF-NodTAG	G1	Xi	2	/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_F3_CTCF-NodTAG_G1_Xi_rep2.cool			true
Mecp2_F3_CTCF-NodTAG_G2_Xa	Mecp2	F3	CTCF-NodTAG	G2	Xa			Mecp2_Xa	Mecp2_NodTAG-or-WT_Xa	true
Mecp2_F3_CTCF-NodTAG_G2_Xa_rep1	Mecp2	F3	CTCF-NodTAG	G2	Xa	1	/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_F3_CTCF-NodTAG_G2_Xa_rep1.cool			true
Mecp2_F3_CTCF-NodTAG_G2_Xa_rep2	Mecp2	F3	CTCF-NodTAG	G2	Xa	2	/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_F3_CTCF-NodTAG_G2_Xa_rep2.cool			true
Mecp2_F3_CTCF-dTAG_G1_Xi	Mecp2	F3	CTCF-dTAG	G1	Xi			Mecp2_dTAG_Xi	Mecp2_CTCF-dTAG_Xi,Mecp2_dTAG_Xi	true
Mecp2_F3_CTCF-dTAG_G1_Xi_rep1	Mecp2	F3	CTCF-dTAG	G1	Xi	1	/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_F3_CTCF-dTAG_G1_Xi_rep1.cool			true
Mecp2_F3_CTCF-dTAG_G1_Xi_rep2	Mecp2	F3	CTCF-dTAG	G1	Xi	2	/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_F3_CTCF-dTAG_G1_Xi_rep2.cool			true
Mecp2_F3_CTCF-dTAG_G2_Xa	Mecp2	F3	CTCF-dTAG	G2	Xa			Mecp2_dTAG_Xa	Mecp2_CTCF-dTAG_Xa,Mecp2_dTAG_Xa	true
Mecp2_F3_CTCF-dTAG_G2_Xa_rep1	Mecp2	F3	CTCF-dTAG	G2	Xa	1	/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_F3_CTCF-dTAG_G2_Xa_rep1.cool			true
Mecp2_F3_CTCF-dTAG_G2_Xa_rep2	Mecp2	F3	CTCF-dTAG	G2	Xa	2	/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_F3_CTCF-dTAG_G2_Xa_rep2.cool			true
Mecp2_JTG_WT_G1_Xi	Mecp2	JTG	WT	G1	Xi		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_JTG_WT_G1_Xi.cool	Mecp2_Xi	Mecp2_NodTAG-or-WT_Xi	true
Mecp2_JTG_WT_G2_Xa	Mecp2	JTG	WT	G2	Xa		/home/encent/Projects/Antonia_Edith_01/data/coolers/Mecp2_JTG_WT_G2_Xa.cool	Mecp2_Xa	Mecp2_NodTAG-or-WT_Xa	true
